Lake_id,Lat,Lon,HDI,Index
11854,25.48897937,75.42974678,0.656827014,205
11955,29.31939261,74.0643988,0.557147526,206
12124,21.05881262,84.02315854,0.548804192,207
12187,19.9234368,73.08102834,0.609839606,208
12247,21.77330133,69.54044343,0.588441179,209
12334,28.00461721,76.97252087,0.656179028,210
12379,17.64211457,82.4565901,0.587919678,211
12421,22.38530257,70.40349524,0.587656895,212
12542,24.48268724,88.00627273,0.628500025,213
12589,17.31371294,78.35398144,0.696064278,214
12682,29.36583981,74.08604623,0.573739328,215
12711,19.24924426,73.77102835,0.650843526,216
12745,12.49199719,75.87598309,0.654281418,217
12768,24.74686253,92.9573734,0.577938324,218
12910,23.91930277,71.39514128,0.514968283,219
12939,25.69038008,72.90267526,0.614721563,220
12977,29.31975,78.9365625,0.65658458,221
13059,25.76572712,85.55241298,0.594974598,222
13067,14.31635332,79.98985725,0.647439179,223
13199,25.637125,77.863,0.557564286,224
13235,20.67735221,81.22070201,0.609645333,225
13236,27.47145879,75.22844309,0.53616499,226
13374,12.3476121,80.03696325,0.649004931,227
13443,14.52054989,76.82593564,0.600072393,228
13524,25.38836725,74.51451333,0.713312462,229
13578,17.60041824,74.85833627,0.645597201,230
13603,17.21847457,80.37715484,0.617504527,231
13649,21.406375,69.9723125,0.599990967,232
13691,26.29025,85.5865625,0.563253734,233
13736,14.8378804,78.31874559,0.640635907,234
13843,27.07531658,70.98201508,0.516725173,235
13854,26.22645705,94.29646119,0.65111967,236
13856,25.37738105,79.67982588,0.583693489,237
13870,18.35225724,73.56290708,0.624142074,238
13918,9.509511612,76.4598682,0.729556016,239
13981,26.56308946,83.4080116,0.607393628,240
14146,20.24626569,79.8227701,0.560605116,241
14156,23.266125,73.913875,0.568489612,242
14321,19.83018976,77.66776627,0.610021951,243
14379,9.527,77.171875,0.645669563,244
14562,17.74777111,75.91663734,0.675778389,245
14813,24.140125,74.617875,0.622046985,246
14860,24.850923,83.31511058,0.498148764,247
14875,23.54297973,69.87264652,0.468043769,248
14906,34.105375,74.87075,0.765294181,249
15011,18.0953485,73.70697125,0.579646663,250
15027,26.45482677,76.31320054,0.652633745,251
15029,16.54023977,78.65691632,0.598299749,252
15037,21.86592849,70.52651677,0.617528912,253
15271,21.141875,85.6079375,0.524548887,254
15311,18.81455634,73.45568908,0.614683547,255
15421,23.69661997,69.64776331,0.48603895,256
15497,26.92709133,75.13946173,0.670860457,257
15499,24.99728796,87.8109493,0.615136562,258
15569,17.21883673,79.90098054,0.607628949,259
15621,26.15329696,83.72432565,0.593534925,260
15709,20.46247024,77.15358866,0.612474827,261
15816,18.26112826,78.54143725,0.613631833,262
15827,20.98099964,78.71203465,0.605975261,263
16008,25.97288631,90.16457223,0.624905665,264
16101,16.46824265,79.53427551,0.617368646,265
16165,25.4382675,78.720042,0.585576326,266
16176,25.84516655,73.25066156,0.590728029,267
16298,18.13694697,78.18040819,0.596617706,268
16331,18.3756945,81.94161079,0.596612705,269
16372,18.14025,80.072125,0.596936058,270
16374,13.8036654,80.06499675,0.625272705,271
16437,26.07037187,76.32541838,0.716433971,272
16501,14.8684733,77.38725034,0.590945573,273
16604,25.84759248,84.17644281,0.610452652,274
16608,24.27206913,92.75088251,0.644073824,275
16719,25.1991753,82.39396418,0.582574456,276
17116,25.7795578,84.91103008,0.57609869,277
17265,12.93741736,79.44635006,0.669907252,278
17321,22.33078577,69.95881785,0.652608857,279
17413,14.78646949,77.69754043,0.609011686,280
17452,25.36333172,85.75940322,0.565601774,281
17519,21.47863099,84.54714497,0.524284152,282
17581,8.456234246,77.3202181,0.682815282,283
17611,24.98416132,75.88441328,0.658643058,284
17620,25.65011059,86.28528188,0.580910554,285
17666,20.22834418,73.70331008,0.651296348,286
